paper_id,title,authors,year,venue,source,doi,arxiv_id,paper_url,pdf_url,abstract,arxiv_comment,keywords,is_open_source,open_source_status,code_url,project_url,candidate_code_urls,open_source_evidence,application_scenario,technical_framework,task_type,modality,relevance_score,curation_status,notes,last_checked_at
arxiv:2608.21032v1,Roadside-Cooperative Autonomous Driving: From Data Platform to Vision-Language End-to-End Reasoning,Yitao Xu; Tong Wu; Yiyan Wu; Guoji Xu; Yanbo Jiang; Jiahao Wang; Zehong Ke; Junkai Jiang; Fang Zhang; Jianqiang Wang,2026,arXiv,arXiv,,2608.21032v1,http://arxiv.org/abs/2608.21032v1,https://arxiv.org/pdf/2608.21032v1,"Vehicle-to-Everything (V2X) cooperation enables beyond-line-of-sight perception, mitigating occlusions in single-vehicle sensing. However, existing V2X benchmarks provide limited support for closed-loop evaluation and language-grounded supervision, hindering the development of vision-language models (VLMs) for end-to-end cooperative driving. To address these limitations, we introduce V2XBench, a simulation platform featuring synchronized ego--roadside sensing and closed-loop evaluation, together with Chat-V2XBench, a progressively structured VQA dataset for cooperative reasoning. Building upon this benchmark infrastructure, we propose AURORA, an end-to-end cooperative driving framework. Equipped with a dual-view perception architecture, AURORA mitigates spatial and semantic discrepancies across ego and roadside viewpoints through a query-level Cross-View Query Alignment and Fusion (CQAF) module. Leveraging the resulting unified tokens, a LoRA-adapted VLM bridges semantic reasoning and generative trajectory planning. Extensive closed-loop evaluations on V2XBench demonstrate that AURORA achieves state-of-the-art performance in heavily occluded scenarios, with a Route Completion rate of 98.21% and a Driving Score of 76.02, while requiring low roadside communication bandwidth. Ultimately, this work pioneers an extensible V2X--VLM paradigm, paving the way for next-generation cooperative autonomous driving.","15 pages, 5 figures, under review",semantic communication; semantic communications,False,not_detected,,,,,未分类,未分类,,,0.0,inbox,,2026-08-24T02:22:44.579693+00:00
arxiv:2608.20813v1,Electromagnetic Twin: Completing the Wireless World from Sparse Channel Evidence,Tuo Wu; Jie Tang; Kangda Zhi; Junteng Yao; Maged Elkashlan; Kin-Fai Tong; George K. Karagiannidis; Jinhong Yuan,2026,arXiv,arXiv,,2608.20813v1,http://arxiv.org/abs/2608.20813v1,https://arxiv.org/pdf/2608.20813v1,"Acquiring dense channel information over many locations and beams incurs considerable pilot and processing overhead. Radio maps and channel knowledge maps (CKMs) reduce this overhead by reusing site-specific channel information, but their contents must be refreshed when new measurements or environmental observations become available. This paper introduces an \emph{electromagnetic twin} as an updatable digital representation that uses sparse channel evidence to reconstruct the wireless state requested by communication queries. Rather than replacing radio maps or CKMs, the twin uses a CKM as channel memory, combines it with registered scene information, and regenerates its outputs after each evidence update. We instantiate this idea by completing a two-dimensional channel-gain field from sparse samples and an incomplete floor plan. A learned RF completion backbone recovers the main propagation structure, and a lightweight residual adapter tests whether frozen CLIP features provide useful side information. With $4\%$ measured locations and $55\%$ missing semantic objects, the RF backbone attains $4.44$ dB RMSE, compared with $8.29$ dB for CKM interpolation and $8.38$ dB for an incomplete physics prior. Residual adaptation reduces RMSE by a paired mean of $0.135$ dB (95\% confidence interval: $0.100$--$0.169$ dB), but a same-capacity random-feature control is statistically indistinguishable from the CLIP-conditioned adapter. The results therefore support the measurement--update--query loop and lightweight residual correction, while avoiding an unsupported attribution of the correction to visual semantics.",,semantic communication; semantic communications,False,not_detected,,,,,未分类,未分类,,,0.0,inbox,,2026-08-24T02:22:44.579779+00:00
arxiv:2608.19674v1,Escaping the Quicksand: A Call to Arms,Peter Sewell; Jean Pichon-Pharabod,2026,arXiv,arXiv,,2608.19674v1,http://arxiv.org/abs/2608.19674v1,https://arxiv.org/pdf/2608.19674v1,"Computing has been an astonishing success - but the accumulated technical debt exposes us all to huge costs in business and societal risk. For 75 years, we've built systems to prose specifications with test-and-debug development. That works well enough for industry to thrive, but it's an expensive and ineffective feedback loop, and leaves everyone relying on shaky foundations. Now, AI-enabled engineering is amplifying the success by reducing coding costs, but also amplifies the risks, by rapidly increasing technical debt, and by automating detection of the vulnerabilities therein. How can we do better? Research has long pursued mathematical proof of correctness, which, unlike testing, can cover all cases. This too has advanced massively, but it remains hard to apply, both technically and because of a deep-seated cultural disconnect. Instead, we argue for a pragmatic approach to flexible combinations of testing, *specification*, and proof, that provides more effective feedback loops for both AI and human development. Most simply, one can incrementally co-develop executable-as-test-oracle partial specifications alongside conventional prose descriptions, code, and tests. This clarifies design and makes testing much more discriminating. Developers can and should do it today. Or, even better, one can use specifications that support the full gamut of testing, property-based testing, symbolic execution, and proof. This enables a range of intertwined feedback loops, again both for AI and humans, from cheap testing to more expensive proof. However, making it really practical needs *semantics infrastructure*: specifications and tooling for the main programming languages and other abstractions, which we now more-or-less know how to build, but which is not yet in place. We call the community to arms to create and deploy it - to enable a future built on firmer ground.",,semantic communication; semantic communications,False,not_detected,,,,,未分类,未分类,,,0.0,inbox,,2026-08-24T02:22:44.579839+00:00
arxiv:2608.19649v1,Differential Privacy in Feature Reconstruction Aided Federated Learning for Agent's Semantic Communication Model Update,Yoon Huh; Bumjun Kim; Wan Choi,2026,arXiv,arXiv,,2608.19649v1,http://arxiv.org/abs/2608.19649v1,https://arxiv.org/pdf/2608.19649v1,"This paper proposes a differentially private federated learning (FL) framework built upon an FL algorithm with semantic feature reconstruction (FedSFR) for training semantic communication modules for image transmission. By allowing clients with unfavorable uplink capacity to transmit low-dimensional semantic feature vectors extracted from locally trained joint source-channel coding (JSCC) encoders, FedSFR enhances communication efficiency and training stability under heterogeneous wireless conditions. To protect client privacy, we incorporate the oneshot Laplace mechanism and theoretically demonstrate that feature-based transmission achieves strictly stronger differential privacy (DP) guarantees than gradient-based transmission under an identical communication budget. In addition, a model selection mechanism is introduced to alleviate performance degradation caused by privacy-preserving perturbations. Experimental results on multiple datasets show that the proposed DP-aided FedSFR outperforms DP-enabled FedAvg in training stability and image reconstruction quality in heterogeneous wireless systems.",IEEE Globecom 2026,semantic communication; semantic communications; semantic transmission; semantic channel coding,False,not_detected,,,,,未分类,未分类,,,0.0,inbox,,2026-08-24T02:22:44.579877+00:00
arxiv:2608.19593v1,The Verification Gap in Networked Physical AI: A Post-Semantic Communication Framework,Shunsuke Saruwatari,2026,arXiv,arXiv,,2608.19593v1,http://arxiv.org/abs/2608.19593v1,https://arxiv.org/pdf/2608.19593v1,"A task-effective proposal is not yet a justified physical action. In networked Physical AI, a proposal may be understood while valid, timely, proposal-bound evidence or the authority required to finalize an action remains unavailable. We call this mismatch the verification gap and introduce a Post-Semantic Communication Framework for the systems interface between proposal formation and physical execution. The framework begins with application-declared evidence requirements, represents qualifying observations as evidence records, validates supporting and conflicting records through one path, and separates evidence sufficiency from authorized finalization and a downstream runtime gate. It further distinguishes evidence transfer, which can enlarge the record set reachable by a finalizer, from evidence coordination, which can suppress transmission around records already held at the finalization endpoint. Finite-state framework checks verify that the evaluator implements the declared distinctions consistently. Under the declared model, the controlled communication study exposes a finalizer-dependent asymmetry: sender-finalized Feedback uses evidence transfer to expand evidence reachability throughout the feasible plotted region, whereas receiver-finalized Feedback uses coordination to suppress redundant payload until loss, latency, freshness, and deadline costs shift selection to One-way. Finally, an episode-level reporting schema defines common denominators for future measured Physical-AI studies.","9 pages, 3 figures, 3 tables",semantic communication; semantic communications; semantic transmission,False,not_detected,,,,,未分类,未分类,,,0.0,inbox,,2026-08-24T02:22:44.579920+00:00
arxiv:2608.19590v1,Loss-Resilient Semantic Communication over Packet-Loss Networks at Extreme-Low Bandwidth,Shengshi Yao; Jincheng Dai; Sixian Wang; Guo Lu; Kai Niu; Wenjun Xu; Wenjun Zhang; Ping Zhang,2026,arXiv,arXiv,,2608.19590v1,http://arxiv.org/abs/2608.19590v1,https://arxiv.org/pdf/2608.19590v1,"In extreme-low bandwidth network scenarios, generative semantic codecs have emerged as promising solutions to reduce bandwidth cost for visual communications. However, these learned codecs are usually optimized solely for compression efficiency and thus not robust against transmission errors. Corruptions due to packet-loss among these highly compact generative latent representations often cause more critical degradation in fidelity and realism, intensified by the severe error propagation across the latent contexts and multi-step decoding process. In this paper, we propose ResiGLC, a novel loss-resilient generative latent coding framework designed for robust semantic communication over extreme-low bandwidth packet-loss networks. Motivated by the inherent goal-consistency between generation and compression, we sufficiently exploit the impressive in-context predictive capabilities of language models. Integrated with the masked learning strategy, our model supports arbitrary context modeling of latent codes, which could mitigate the error propagation and handle unpredictable packet loss patterns. At the receiver, a progressive resilient decoding pipeline is presented, which leverages both the contextual relationship of the latent codes and the multi-modal semantic prior in the generative latent space, separately. By jointly optimizing toward both compression efficiency and packet-loss resilience, our proposed progressive decoding mechanism offers graceful performance when dealing with dynamic packet losses. Through extensive experimental evaluations, we establish that under packet-loss network conditions, ResiGLC can effectively improve the loss-resilience in terms of perceptual fidelity and realism qualities with extreme-low bandwidth cost.","Accepted to appear in IEEE TMC. 14 pages, 15 figures, and 5 tables",semantic communication; semantic communications; semantic transmission,False,not_detected,,,,,未分类,未分类,,,0.0,inbox,,2026-08-24T02:22:44.579974+00:00
arxiv:2608.19299v1,"Air Traffic Control Using Large Language Models: Prompt Engineering, Architecture, and Evaluation",Mahyar Ghazanfari; Matthias Casanova; Jordan Kam; Alex Zongo; Peng Wei; Torsten Darrell; Alexandre Bayen,2026,arXiv,arXiv,,2608.19299v1,http://arxiv.org/abs/2608.19299v1,https://arxiv.org/pdf/2608.19299v1,"Air traffic control (ATC) communication is a safety-critical dialogue that remains largely human-driven even as other parts of air traffic management have been semi-automated. In this article, we experimentally evaluate whether large language models (LLMs) can generate operationally realistic ATC transmissions. An experimental general-aviation flight flying over the San Francisco ""Bay Tour"" route is hand-transcribed and used as ground truth (P0). Through a pilot-in-the-loop process we design five prompt structures (P1-P5) of increasing constraint and embed them in a stateful multi-turn pipeline, where the model plays ATC to a fixed pilot transcript while conditioning on the accumulating dialogue history. Across nine open- and closed-source LLMs we vary the prompt, the presence of a worked transcript from a different experimental flight as an in-context example, and whether the model conditions on its own prior replies or on injected ground-truth history. Turns are scored with lexical, structural, and semantic similarity metrics and by an LLM-as-judge (GPT-5.5) validated against human expert annotation. Supplying a worked example improves similarity, but tightening the prompt does not: the lightest prompts perform best and the most heavily scripted one collapses as its own errors accumulate through the dialogue, which injecting correct history repairs. These results outline a concrete path and its current limits toward LLM-assisted ATC.","39 pages, 12 figures, 7 tables",semantic communication; semantic communications; semantic transmission,False,not_detected,,,,,未分类,未分类,,,0.0,inbox,,2026-08-24T02:22:44.580022+00:00
arxiv:2608.18660v1,Computational Measurement of Team-Process Phase Dynamics in Collaborative Virtual Reality,Qing Huang; Jianing Zhang; Pooja Pol,2026,arXiv,arXiv,,2608.18660v1,http://arxiv.org/abs/2608.18660v1,https://arxiv.org/pdf/2608.18660v1,"Collaborative virtual reality (VR) environments make team communication observable as it unfolds, but conventional transcript analyses often summarize entire trials or divide them into fixed temporal windows. Such approaches can obscure changes in team communication and coordination over time. This article presents a computational framework for detecting and interpreting dynamic team-process phases from timestamped dialogue in a collaborative VR game. The framework uses late chunking to generate context-aware transcript representations, aggregates them into temporal chunks, and applies penalized Gaussian-kernel change-point detection to identify semantic transitions in team communication. After boundary detection, term frequency--inverse document frequency (TF-IDF), non-negative matrix factorization (NMF), and representative transcript segments provide structured evidence for phase interpretation. A locally deployed large language model (LLM) uses in-context learning to generate initial interpretations that are subsequently reviewed by humans. Independently recorded interaction logs are then aligned with the detected phases to examine corresponding task-action patterns. The evaluation compares representations, pooling strategies, segmentation methods, parameter settings, reviewed phase interpretations, and phase-aligned interaction profiles. The results show that the framework identifies coherent and interpretable phase structures while preserving traceability to the underlying transcript evidence. The correspondence between transcript-derived phases and interaction behavior further supports their relevance for analyzing collaborative activity. The framework therefore offers a transparent and transferable approach for studying temporal changes in teamwork from timestamped transcripts across collaborative task settings.",,semantic communication; semantic communications; semantic-aware communication,False,not_detected,,,,,未分类,未分类,,,0.0,inbox,,2026-08-24T02:22:44.580071+00:00
arxiv:2608.18587v2,"High-Altitude Platforms Beyond Connectivity: A Survey of Integrated Sensing, Storage, Communication, Computing, and Intelligence",Haoxiang Luo; Mohamed-Slim Alouini,2026,arXiv,arXiv,,2608.18587v2,http://arxiv.org/abs/2608.18587v2,https://arxiv.org/pdf/2608.18587v2,"High-altitude platforms (HAPs) are emerging as persistent middle-layer infrastructures for space-air-ground integrated networks (SAGINs), offering a favorable compromise among coverage, latency, endurance, and deployment flexibility. Their role, however, is evolving beyond communication relaying toward the joint provision of sensing, storage, communication, computing, and intelligence (S^2C^2I). This survey presents a unified HAP-centric perspective on S^2C^2I integration. We first review HAP fundamentals, platform categories, and their principal roles in SAGINs, including wide-area access, relaying, backhaul, edge service, low-altitude aerial coordination, and cross-layer orchestration. We then develop an integrated architecture spanning multi-plane connectivity, payload functional splits, and a cloud-edge-HAP space continuum with hierarchical data, control, computing, and storage loops. The enabling technologies are systematically examined, covering heterogeneous RF, millimeter-wave, terahertz, free-space optical, and hybrid links; sensing payloads and integrated sensing and communication; onboard computing; storage and caching; and AI-based orchestration. We further synthesize standardization progress, open software and datasets, testbeds, field evidence, and a four-level evaluation methodology ranging from component validation to mission-level effectiveness. An emergency-response case study demonstrates that joint S^2C^2I orchestration substantially improves conjunctive service availability while reducing feeder-link traffic. Finally, we identify research opportunities in agentic AI, trustworthy autonomy, goal-oriented semantic operation and digital twins, and sustainable, certifiable, and open HAP-native systems. The resulting synthesis provides a coherent roadmap from platform design to network-wide deployment.",,semantic communication; semantic communications; goal-oriented communication,False,not_detected,,,,,未分类,未分类,,,0.0,inbox,,2026-08-24T02:22:44.580117+00:00
arxiv:2608.18279v1,A Comprehensive Review of Large Language Models for Nanophotonics: From Surrogate Modeling to Autonomous Design,Huanshu Zhang; Kegeng Tang; Lei Kang; Sawyer D. Campbell; Zihao Wang; Douglas H. Werner,2026,arXiv,arXiv,,2608.18279v1,http://arxiv.org/abs/2608.18279v1,https://arxiv.org/pdf/2608.18279v1,"Metasurfaces have revolutionized the development of photonic devices by enabling unprecedented precision in light manipulation. However, their design processes are often constrained by computationally expensive simulations and complex high-dimensional design spaces. Although deep learning has accelerated the design process by serving as a surrogate model, it remains constrained by task-specific architectures and lacks universal reasoning capabilities. This review surveys how Large Language Models (LLMs) are adding semantic interfaces, code generation, and tool orchestration to established numerical nanophotonic workflows. We first outline the development from classical neural networks to transformer-based models and their applications in nanophotonic design. We then review the emergence of LLM-related methods in nanophotonics and organize them into two operational modes: surrogate models that treat structure-spectrum mapping as a language task, and agentic systems that have been demonstrated to generate code, orchestrate selected simulation steps, and support closed-loop optimization. Furthermore, to identify future cross-disciplinary opportunities, we briefly explore applications of LLMs in research fields such as materials science and wireless communications. This review concludes by looking ahead to the next generation of multimodal foundation models with physical perception capabilities. In this vision, artificial intelligence is evolving from passive tools into active collaborators, participating in autonomous scientific discovery.",Accepted for publication in Advanced Photonics,semantic communication; semantic communications,False,not_detected,,,,,未分类,未分类,,,0.0,inbox,,2026-08-24T02:22:44.580165+00:00
